	Tissue	Replicate	MCP	Cold_Storage	MCP_Storage	Tissue_MCP_Storage	Tissue_MCP_Storage_Rep.	Tissue_MCP	Tissue_Storage	Cold_Storage_Rep
Bacteria_KIWI_001	Pericarp	1	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.1	Pericarp_Yes	Pericarp_90_days	90_days_1
Bacteria_KIWI_002	Pericarp	2	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.2	Pericarp_Yes	Pericarp_90_days	90_days_2
Bacteria_KIWI_003	Pericarp	3	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.3	Pericarp_Yes	Pericarp_90_days	90_days_3
Bacteria_KIWI_004	Pericarp	4	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.4	Pericarp_Yes	Pericarp_90_days	90_days_4
Bacteria_KIWI_005	Pericarp	5	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.5	Pericarp_Yes	Pericarp_90_days	90_days_5
Bacteria_KIWI_006	Pericarp	6	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.6	Pericarp_Yes	Pericarp_90_days	90_days_6
Bacteria_KIWI_007	Pericarp	7	Yes	90_days	Yes_90_days	Pericarp_Yes_90_days	Pericarp_Yes_90_days_No.7	Pericarp_Yes	Pericarp_90_days	90_days_7
Bacteria_KIWI_008	Pericarp	1	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.1	Pericarp_No	Pericarp_90_days	90_days_1
Bacteria_KIWI_009	Pericarp	2	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.2	Pericarp_No	Pericarp_90_days	90_days_2
Bacteria_KIWI_010	Pericarp	3	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.3	Pericarp_No	Pericarp_90_days	90_days_3
Bacteria_KIWI_011	Pericarp	4	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.4	Pericarp_No	Pericarp_90_days	90_days_4
Bacteria_KIWI_012	Pericarp	5	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.5	Pericarp_No	Pericarp_90_days	90_days_5
Bacteria_KIWI_013	Pericarp	6	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.6	Pericarp_No	Pericarp_90_days	90_days_6
Bacteria_KIWI_014	Pericarp	7	No	90_days	No_90_days	Pericarp_No_90_days	Pericarp_No_90_days_No.7	Pericarp_No	Pericarp_90_days	90_days_7
Bacteria_KIWI_015	Pericarp	1	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.1	Pericarp_Yes	Pericarp_15_days	15_days_1
Bacteria_KIWI_016	Pericarp	2	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.2	Pericarp_Yes	Pericarp_15_days	15_days_2
Bacteria_KIWI_017	Pericarp	3	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.3	Pericarp_Yes	Pericarp_15_days	15_days_3
Bacteria_KIWI_018	Pericarp	4	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.4	Pericarp_Yes	Pericarp_15_days	15_days_4
Bacteria_KIWI_019	Pericarp	5	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.5	Pericarp_Yes	Pericarp_15_days	15_days_5
Bacteria_KIWI_020	Pericarp	6	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.6	Pericarp_Yes	Pericarp_15_days	15_days_6
Bacteria_KIWI_021	Pericarp	7	Yes	15_days	Yes_15_days	Pericarp_Yes_15_days	Pericarp_Yes_15_days_No.7	Pericarp_Yes	Pericarp_15_days	15_days_7
Bacteria_KIWI_022	Pericarp	1	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.1	Pericarp_No	Pericarp_15_days	15_days_1
Bacteria_KIWI_023	Pericarp	2	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.2	Pericarp_No	Pericarp_15_days	15_days_2
Bacteria_KIWI_024	Pericarp	3	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.3	Pericarp_No	Pericarp_15_days	15_days_3
Bacteria_KIWI_025	Pericarp	4	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.4	Pericarp_No	Pericarp_15_days	15_days_4
Bacteria_KIWI_026	Pericarp	5	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.5	Pericarp_No	Pericarp_15_days	15_days_5
Bacteria_KIWI_027	Pericarp	6	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.6	Pericarp_No	Pericarp_15_days	15_days_6
Bacteria_KIWI_028	Pericarp	7	No	15_days	No_15_days	Pericarp_No_15_days	Pericarp_No_15_days_No.7	Pericarp_No	Pericarp_15_days	15_days_7
Bacteria_KIWI_029	Pericarp	1	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.1	Pericarp_No	Pericarp_0_days	0_days_1
Bacteria_KIWI_030	Pericarp	2	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.2	Pericarp_No	Pericarp_0_days	0_days_2
Bacteria_KIWI_031	Pericarp	3	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.3	Pericarp_No	Pericarp_0_days	0_days_3
Bacteria_KIWI_032	Pericarp	4	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.4	Pericarp_No	Pericarp_0_days	0_days_4
Bacteria_KIWI_033	Pericarp	5	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.5	Pericarp_No	Pericarp_0_days	0_days_5
Bacteria_KIWI_034	Pericarp	6	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.6	Pericarp_No	Pericarp_0_days	0_days_6
Bacteria_KIWI_035	Pericarp	7	No	0_days	No_0_days	Pericarp_No_0_days	Pericarp_No_0_days_No.7	Pericarp_No	Pericarp_0_days	0_days_7
Bacteria_KIWI_036	Placenta	1	Yes	90_days	Yes_90_days	Placenta_Yes_90_days	Placenta_Yes_90_days_No.1	Placenta_Yes	Placenta_90_days	90_days_1
